,Distance to Waterway (m),Drainage Direction,Elevation,Fine Earth Density (kg / m^3),Height Above Nearest Drainage (m),Landform Type,Nearest Water Type,Population - 1 km,Population - 10 km,Population - 5 km,Slope (degrees),Soil Clay Fraction,Soil Great Group,Soil Sand Fraction,Upstream Drainage Area (km^2),Wind Speed (m/s),area,area (km^2),country,id,place_name,risk,area (ha),geometry,number
23,770.7103879769695,northwest,1.0,123.0,1.100000023841858,Upper slope (flat),canal,5826.0,308872.0,74278.0,1.279633992755483,0.24,0.0,0.45,0.03210172802209854,3.026244878768921,481.6094048708246,0.0004816094048708246,Vietnam,8f41431065a246a,"Lâm, Ý Yên District, Nam Dinh province, Vietnam",0.2754242685150572,0.048160940487082464,POINT (106.0057977144459 20.32302663965038),16
125,1229.1238016337018,northwest,5.0,128.0,0.40000009536743164,Lower slope (flat),river,4442.0,385838.0,105967.0,1.580415624592721,0.24,1.0,0.43,0.007998935878276825,3.1306347846984863,166.62847399527368,0.00016662847399527369,Vietnam,8f41434ee8616d0,"Khoái Châu, Khoái Châu District, Hung Yen Province, Vietnam",0.1855317236987394,0.016662847399527368,POINT (105.9906780199935 20.83650492277982),17
76,574.8224416508327,south,1.0,118.0,0.19999992847442627,Lower slope (flat),river,3881.0,288122.0,80061.0,0.9047345449802762,0.29,0.0,0.4,0.14419934153556824,3.0553858280181885,873.1293451029936,0.0008731293451029936,Vietnam,8f414352e361298,"Hưng Hà, Hưng Hà District, Thai Binh province, Vietnam",0.3009396986355866,0.08731293451029937,POINT (106.2152766212136 20.60146281559836),18
21,186.18794005814027,southeast,5.0,122.0,0.0,Valley,water,4876.0,314960.0,122616.0,1.8357931033477632,0.25,0.0,0.44,0.016013476997613907,3.0453686714172363,2251.2440176810383,0.0022512440176810384,Vietnam,8f414355e4eb6c4,"An Tảo, Phường An Tảo, Hung Yen City, Hung Yen Province, Vietnam",0.4510754627929965,0.22512440176810383,POINT (106.0716539744328 20.68631545290349),19
78,635.6392855508718,southeast,2.0,120.0,0.0,Valley,river,1922.0,361614.0,69337.0,0.33085616611822016,0.29,0.0,0.38,4.126582622528076,3.1296634674072266,764.2959467741265,0.0007642959467741265,Vietnam,8f41435987aa59a,"Gia Loc, Gia Loc District, Hải Dương Province, Vietnam",0.275266794406448,0.07642959467741264,POINT (106.2628980827189 20.86461794651871),20
99,731.3310707409424,north,9.0,123.0,1.0,Upper slope (flat),river,6054.0,425103.0,109400.0,0.9847338304914681,0.23,1.0,0.4,0.007990879938006401,2.6769661903381348,133.79441698761568,0.00013379441698761567,Vietnam,8f41436d0af6123,"Quoc Oai District, Hanoi, Vietnam",0.22647101310106638,0.013379441698761568,POINT (105.5826706062677 20.99063645469186),21
67,833.9333993729069,southwest,12.0,126.0,12.5,Lower slope (warm),canal,965.0,173500.0,25768.0,3.3024383135996183,0.27,1.0,0.43,0.1446835994720459,2.9984638690948486,1932.4405971497608,0.0019324405971497607,Vietnam,8f414385202182a,"Đường Lê Thế Sơn, Bỉm Sơn, Thanh Hoa province, Vietnam",0.2908130968141171,0.19324405971497607,POINT (105.9177835972375 20.07441888488632),22
52,232.47667808617092,northwest,3.0,120.0,0.09999990463256836,Valley,river,2424.0,277475.0,76456.0,0.3091606457115311,0.3,0.0,0.38,0.008033434860408306,3.0766942501068115,331.3959714788366,0.0003313959714788366,Vietnam,8f41438aa383af6,"Yên Ninh, Yên Khánh District, Ninh Binh province, Vietnam",0.31815767550486274,0.03313959714788366,POINT (106.0524464674016 20.16624842189279),23
18,2704.4452369847554,east,85.0,122.0,32.30000305175781,Upper slope (warm),reservoir,852.0,165931.0,44757.0,3.6420352182108027,0.29,1.0,0.4,0.008035215549170971,2.9591593742370605,7126.139542886994,0.007126139542886993,Vietnam,8f41438c5ae58dd,"Tam Điệp, Ninh Binh province, Vietnam",0.24442059912718953,0.7126139542886993,POINT (105.9076835563937 20.13073072920466),24
107,4092.869636611856,northeast,76.0,126.0,17.400001525878906,Lower slope (warm),river,496.0,75429.0,17110.0,4.9086027764357585,0.3,1.0,0.42,0.032163385301828384,1.8008333444595337,844.7419741493693,0.0008447419741493693,Vietnam,8f4143a6842bad6,"Ngọc Lặc District, Thanh Hoa province, Vietnam",0.10240766752905542,0.08447419741493693,POINT (105.3849328277362 20.0197730696597),25
45,1009.2178469876413,northeast,10.0,133.0,0.3000001907348633,Valley,water,2885.0,193357.0,49725.0,0.45142219834597835,0.26,1.0,0.4,0.0080431392416358,2.660496711730957,691.3764613641899,0.00069137646136419,Vietnam,8f4143b08b1244e,"Đường Đồng Cổ, Quán Lào, Yên Định District, Thanh Hoa province, Vietnam",0.2509715688124835,0.069137646136419,POINT (105.6378646807241 19.97370826011741),26
190,1565.5754412041601,southwest,20.0,133.0,10.90000057220459,Lower slope (flat),water,1008.0,92297.0,27204.0,3.416643975457812,0.25,1.0,0.45,0.008035789243876934,2.419334888458252,0.0,0.0,Vietnam,8f4143b8d5ae1ad,"Kim Tân, Thạch Thành District, Thanh Hoa province, Vietnam",,0.0,POINT (105.6913750198305 20.11955136094993),27
110,138.90587149563376,northwest,3.0,109.0,1.899999976158142,Lower slope (flat),river,2986.0,327780.0,89838.0,0.4519654853331716,0.28,2.0,0.38,0.024075930938124657,3.3064022064208984,73.95273236491337,7.395273236491337e-05,Vietnam,8f4143c28ca50a6,"Cổ Lễ, Trực Ninh District, Nam Dinh province, Vietnam",0.30148564585113136,0.007395273236491337,POINT (106.2797310075545 20.3270211387759),28
2,441.950901099156,east,3.0,107.0,0.2999999523162842,Valley,river,2678.0,407938.0,73842.0,0.329739841191586,0.26,1.0,0.41,0.008024103939533234,3.1069061756134033,886.7485401706147,0.0008867485401706146,Vietnam,8f4143c46cce6cb,"Nam Giang, Nam Trực District, Nam Dinh province, 41000, Vietnam",0.3274670140997435,0.08867485401706146,POINT (106.1696029155397 20.34951306405844),29
176,1208.7975412821702,southwest,2.0,121.0,0.8999999761581421,Upper slope (flat),river,1885.0,395513.0,121092.0,0.9843209506094347,0.28,0.0,0.4,0.008020170964300632,3.1049938201904297,3218.616858143842,0.003218616858143842,Vietnam,8f4143c5a72b449,"Mỹ Lộc, Mỹ Lộc District, Nam Dinh province, 42000, Vietnam",0.29104594175790505,0.32186168581438424,POINT (106.1180606543516 20.42646696927951),30
42,1051.9578363642247,southeast,0.0,117.0,0.10000002384185791,Valley,river,2054.0,395690.0,126578.0,0.32991100917079536,0.28,0.0,0.41,0.008020041510462761,3.0027849674224854,2452.4020353469277,0.002452402035346928,Vietnam,8f4143c5a7aa913,"Nam Định, Nam Dinh province, 42000, Vietnam",0.2915443848376122,0.24524020353469278,POINT (106.1196964087672 20.4293566476686),31
15,69.28883144946808,north,4.0,-1.0,1.8000000715255737,Upper slope (flat),river,1618.0,359655.0,62023.0,0.7008541666283142,-1.0,-1.0,-1.0,0.024052226915955544,3.2533063888549805,5531.028699830238,0.005531028699830238,Vietnam,8f4143ca675622d,"Thái Bình, Kiến Xương District, Thai Binh province, Vietnam",1.0,0.5531028699830238,POINT (106.4039023892584 20.48117636991772),32
90,377.88488279014064,southwest,1.0,123.0,1.8000000715255737,Lower slope (flat),river,5954.0,419675.0,167263.0,0.6183032897835913,0.3,0.0,0.39,0.008017873391509056,2.5210635662078857,2041.0426499337702,0.0020410426499337703,Vietnam,8f4143cac61e92a,"Thái Bình, Thai Binh province, 06118, Vietnam",0.3760781155415771,0.20410426499337703,POINT (106.3321908067515 20.47083611940027),33
81,1518.6376030320157,northeast,1.0,114.0,0.19999980926513672,Lower slope (flat),river,3370.0,304405.0,75596.0,0.6602591025502835,0.28,0.0,0.39,0.024043787270784378,3.1126983165740967,631.3022445063274,0.0006313022445063273,Vietnam,8f4143cd1ad9385,"Hưng Hà District, Thai Binh province, Vietnam",0.20904032400459954,0.06313022445063274,POINT (106.1951913156128 20.53594210927296),34
33,296.88671754782945,south,5.0,118.0,0.0,Valley,river,12569.0,457919.0,211714.0,1.1381318575416475,0.27,0.0,0.44,7.2170939445495605,2.359863042831421,62.92346750082644,6.292346750082644e-05,Vietnam,8f4143ce1458c18,"Trần Nhân Tông, Nam Định, Mỹ Lộc District, Nam Dinh province, 42000, Vietnam",0.26240694053448965,0.006292346750082644,POINT (106.1940387286801 20.44225454544875),35
156,711.8583279309578,north,1.0,104.0,0.0,Lower slope (flat),water,2627.0,238409.0,63510.0,0.9841841150912788,0.28,4.0,0.39,3.613532304763794,2.8124959468841553,358.768306759156,0.00035876830675915603,Vietnam,8f4143d053960c9,"Giao Thủy District, Nam Dinh province, Vietnam",0.24099486994657923,0.0358768306759156,POINT (106.412701379821 20.23477658689816),36
143,1604.3189141905245,northeast,2.0,112.0,0.0,Valley,canal,3288.0,341866.0,90253.0,0.329651015961754,0.27,1.0,0.39,0.008026243187487125,3.0508646965026855,686.5316034245121,0.0006865316034245122,Vietnam,8f4143d1921801b,"Xuân Trường District, Nam Dinh province, Vietnam",0.21155260547849564,0.06865316034245121,POINT (106.3644904937055 20.30789017149676),37
53,641.4806464033763,north,5.0,122.0,0.0,Lower slope (flat),canal,5998.0,300109.0,94823.0,0.9841652135801424,0.24,2.0,0.45,1.1565386056900024,3.082923650741577,2177.90726343264,0.00217790726343264,Vietnam,8f4143d71110d30,"Yên Định, Hải Hậu District, Nam Dinh province, Vietnam",0.35839597827874803,0.21779072634326402,POINT (106.3012900716283 20.20780308975613),38
154,1183.0202511640675,north,2.0,112.0,0.20000004768371582,Lower slope (flat),river,2469.0,287142.0,77077.0,0.3091606457115311,0.24,1.0,0.43,0.024068737402558327,3.173798084259033,88.09243994544218,8.809243994544217e-05,Vietnam,8f4143daaa506e9,"Kiến Xương, Kiến Xương District, Thai Binh province, Vietnam",0.1503520439210071,0.008809243994544217,POINT (106.4352805389517 20.37345070740601),39
196,377.49076565470216,northwest,18.0,140.0,2.0000009536743164,Lower slope (warm),dam,543.0,111275.0,21556.0,2.8840455333190977,0.26,1.0,0.4,0.024342510849237442,2.7986724376678467,1033.2144615290083,0.0010332144615290083,Vietnam,8f4145229999c4b,"Lộc Hà District, Hà Tĩnh Province, Vietnam",0.3205685628280889,0.10332144615290083,POINT (105.8200392511363 18.50428517049429),40
140,1000.2791360348451,south,6.0,120.0,0.20000004768371582,Valley,river,1485.0,127425.0,41460.0,0.7216057411932799,0.27,0.0,0.4,0.008113773539662361,2.5079987049102783,1475.9231732919543,0.0014759231732919542,Vietnam,8f414524556d899,"Hong Linh town, Hồng Lĩnh, Hà Tĩnh Province, Vietnam",0.27111780966490723,0.14759231732919542,POINT (105.7053175472404 18.51141166292845),41
192,744.1740277441862,southwest,5.0,123.0,3.700000047683716,Lower slope (flat),river,1359.0,371300.0,65732.0,0.3091606457115311,0.28,0.0,0.39,0.008108881302177906,2.808277130126953,0.0,0.0,Vietnam,8f414525a435730,"Petrolimex, Quốc lộ 1, Xuân An, Nghi Xuân District, Hà Tĩnh Province, Vietnam",,0.0,POINT (105.6961270773377 18.61664082368624),42
5,1544.3869137920617,south,7.0,124.0,0.7999997138977051,Lower slope (flat),river,876.0,74489.0,18512.0,0.4494495088726355,0.23,1.0,0.44,0.008108765818178654,2.9439024925231934,1623.843669514748,0.001623843669514748,Vietnam,8f41452e464135e,"Linh Trụng, Nghi Xuân District, Hà Tĩnh Province, 45506, Vietnam",0.2459056206012642,0.1623843669514748,POINT (105.7937661038826 18.6190447338485),43
184,1484.795835146719,southeast,5.0,124.0,1.0000001192092896,Lower slope (flat),water,2287.0,170786.0,57999.0,0.7210947216779877,0.26,0.0,0.43,0.06496516615152359,2.4860334396362305,1362.6232097150685,0.0013626232097150685,Vietnam,8f4145360791a21,"Thach Ha, Thạch Hà District, Hà Tĩnh Province, Vietnam",0.24622145327505995,0.13626232097150687,POINT (105.8521419825997 18.36229526714513),44
46,-1.0,west,714.0,129.0,35.10003662109375,Lower slope (warm),-1,840.0,102067.0,31838.0,19.759546869262113,0.34,5.0,0.39,0.015946390107274055,3.0101888179779053,1272.4705477458172,0.0012724705477458172,Vietnam,8f414a4627010db,"Sơn La, Son La province, Vietnam",,0.12724705477458173,POINT (103.9722837329591 21.32396511924587),45
197,347.9010928828587,southeast,67.0,145.0,19.200000762939453,Lower slope (warm),river,503.0,39990.0,13115.0,4.731004149654854,0.29,2.0,0.39,0.016048481687903404,0.8346112370491028,0.0,0.0,Vietnam,8f414ec911ac51d,"Cành Nàng, Bá Thước District, Thanh Hoa province, Vietnam",,0.0,POINT (105.1997806176323 20.3468766191885),46
122,456.0328909210926,southwest,39.0,121.0,49.900001525878906,Upper slope (warm),water,908.0,32967.0,15839.0,9.048294799890643,0.29,0.0,0.4,0.00797333288937807,2.4337711334228516,498.7292342201746,0.0004987292342201746,Vietnam,8f4151850b2a0d8,"Tiên Yên District, Quang Ninh Province, Vietnam",0.2704196672095104,0.049872923422017455,POINT (107.4287543495132 21.32218370836239),47
121,4759.839536679928,northeast,126.0,130.0,9.699996948242188,Lower slope (warm),river,320.0,48467.0,11078.0,8.711474678665208,0.29,1.0,0.39,0.09500138461589813,2.591526508331299,1685.0535096637946,0.0016850535096637946,Vietnam,8f4159734c6a774,"Bao Thang District, Lao Cai province, Vietnam",0.11743410825765234,0.16850535096637947,POINT (104.2066225369409 22.35847145507838),48
105,801.6391718667874,south,85.0,119.0,7.799995422363281,Valley,river,615.0,43337.0,13122.0,12.992079153921306,0.3,3.0,0.4,0.19828104972839355,1.767471432685852,746.7474447707688,0.0007467474447707688,Vietnam,8f4159d8050c499,"Lục Yên District, Yen Bai Province, Vietnam",0.23305835621341864,0.07467474447707688,POINT (104.8249961973358 22.09601699100461),49
101,709.4170599130376,northwest,182.0,126.0,40.399993896484375,Lower slope (warm),river,2501.0,72430.0,45516.0,12.368708611483811,0.3,3.0,0.35,0.055240463465452194,1.2716423273086548,1347.5092010761148,0.0013475092010761147,Vietnam,8f415b9b612da65,"Minh Khai, Hà Giang, Hà Giang Province, 20152, Vietnam",0.29257069713439976,0.13475092010761147,POINT (104.9899018406712 22.80716835887393),50
149,1048.9436672402826,northwest,73.0,121.0,1.5,Valley,river,534.0,153083.0,14365.0,12.475628782737134,0.28,4.0,0.41,0.334413081407547,2.410938262939453,562.2464717527293,0.0005622464717527293,Vietnam,8f415c205c36074,"Thai Nguyen City, Pho Yen City, Thai Nguyen province, Vietnam",0.203470923759535,0.05622464717527293,POINT (105.7546053482859 21.53180252124291),51
152,393.0759875325663,northwest,62.0,129.0,20.69999885559082,Upper slope (warm),river,1848.0,279579.0,47070.0,9.734811444636325,0.28,0.0,0.48,0.01591200940310955,2.8641538619995117,412.2284642127295,0.00041222846421272945,Vietnam,8f415c2a6950788,"Hóa Trung Commune, Đồng Hỷ District, Thai Nguyen province, Vietnam",0.28911114720274284,0.04122284642127295,POINT (105.8551095127029 21.64459823458038),52
174,786.0785208861804,east,2.0,124.0,0.0,Lower slope (flat),river,2811.0,159766.0,67777.0,1.1398498630090759,0.26,1.0,0.44,23.1835994720459,3.4761717319488525,3431.751448764805,0.003431751448764805,Vietnam,8f415c80648b89c,"Chí Linh, Hải Dương Province, Vietnam",0.3426254289099573,0.3431751448764805,POINT (106.4193801301632 21.118308137063),53
50,186.2436471273888,west,63.0,116.0,6.599998474121094,Upper slope (warm),water,1588.0,182088.0,43830.0,5.878284274463763,0.31,1.0,0.4,0.007983743213117123,3.853097915649414,737.2759529823977,0.0007372759529823978,Vietnam,8f415c80abadc4b,"Chí Linh, Hải Dương Province, Vietnam",0.3607324385644593,0.07372759529823977,POINT (106.3300608762416 21.12603675948444),54
66,149.60728890256206,north,4.0,118.0,0.5,Lower slope (flat),ditch,1506.0,298038.0,55212.0,0.0,0.22,1.0,0.45,0.023966796696186066,3.193328380584717,119.78101827526781,0.00011978101827526781,Vietnam,8f415c95ac73742,"Nam Sách District, Hải Dương Province, Vietnam",0.3278572025561714,0.011978101827526781,POINT (106.3277624421931 21.02823755360403),55
170,1720.4695807253597,north,5.0,129.0,0.09999990463256836,Lower slope (flat),river,3587.0,290867.0,67533.0,1.039973185188984,0.28,0.0,0.42,0.023980755358934402,2.735037326812744,66.85679866747147,6.685679866747147e-05,Vietnam,8f415c976836130,"Kim Can, Thanh Hà District, Hải Dương Province, Vietnam",0.09922363743475379,0.006685679866747147,POINT (106.434552998104 20.93974640061423),56
22,4146.498884848935,southeast,3.0,111.0,1.1000001430511475,Lower slope (flat),ditch,1882.0,287874.0,82440.0,3.5029237170001326,0.22,2.0,0.45,0.007988611236214638,3.2580716609954834,2480.3662848889694,0.0024803662848889695,Vietnam,8f415cb36ad5aa4,"Gia Bình District, Bac Ninh province, Vietnam",0.20064660008776694,0.24803662848889696,POINT (106.1362961538998 21.0337591486126),57
185,-1.0,west,88.0,128.0,38.099998474121094,Valley,-1,328.0,35354.0,8189.0,5.413948021481418,0.31,2.0,0.39,0.007971752434968948,1.6000479459762573,1033.1557612086422,0.0010331557612086421,Vietnam,8f415d012468c4a,"Yên Lập, Yên Lập District, Phu Tho Province, Vietnam",,0.10331557612086421,POINT (105.0726453158192 21.35127645808505),58
54,5011.086561711281,north,52.0,129.0,19.799999237060547,Upper slope (warm),river,265.0,47870.0,7727.0,3.505436604084418,0.32,3.0,0.42,0.007963408716022968,2.440361738204956,950.2843415850163,0.0009502843415850163,Vietnam,8f415d55c41e6c4,"Phù Ninh District, Phu Tho Province, Vietnam",0.0735637730060892,0.09502843415850162,POINT (105.2401141872004 21.5074716140579),59
181,1389.6717159239497,north,66.0,123.0,5.700000762939453,Lower slope (warm),river,448.0,40905.0,11456.0,7.8990191940075,0.31,3.0,0.36,0.11123557388782501,1.6022135019302368,673.9702397840144,0.0006739702397840144,Vietnam,8f415d6d0701a74,"Đường tỉnh 151, Tran Yen District, Yen Bai Province, Vietnam",0.17500260398652087,0.06739702397840144,POINT (104.7543774412085 21.84149704014897),60
27,1822.3906193757896,northwest,807.0,127.0,49.0,Lower slope (warm),stream,987.0,32689.0,10577.0,1.8957813525085294,0.32,0.0,0.35,0.015995947644114494,2.248244285583496,726.9698212428323,0.0007269698212428323,Vietnam,8f415da63941718,"Moc Chau, Mộc Châu District, Son La province, 34719, Vietnam",0.165770323475187,0.07269698212428323,POINT (104.6003150950058 20.85577658725924),61
123,1504.401037475849,northwest,38.0,125.0,15.099998474121094,Upper slope (warm),stream,565.0,126247.0,17121.0,2.804421492944212,0.31,1.0,0.41,0.007978301495313644,2.631882905960083,349.69808648251313,0.0003496980864825131,Vietnam,8f415dc5d62c58a,"Thanh Thủy District, Phu Tho Province, Vietnam",0.14295846775800405,0.03496980864825131,POINT (105.2753548519393 21.22922797715425),62
55,3291.461478555455,east,569.0,121.0,32.10003662109375,Lower slope (warm),river,1311.0,33117.0,17670.0,19.47055684657435,0.31,0.0,0.31,0.031559426337480545,2.6369149684906006,559.7230919285788,0.0005597230919285788,Vietnam,8f415e7334ad588,"Trùng Khánh, Trùng Khánh District, Cao Bằng Province, Vietnam",0.11416418896781647,0.05597230919285788,POINT (106.5445009813384 22.83541905669151),63
49,1204.5595193992403,southeast,226.0,130.0,27.899993896484375,Valley,river,372.0,27405.0,10503.0,2.6843522424017823,0.29,1.0,0.42,0.0079339062795043,2.9984960556030273,823.6070174612597,0.0008236070174612597,Vietnam,8f415e86514d6ce,"Pò Lâu, Văn Lãng, Lạng Sơn Province, Vietnam",0.1997796230099382,0.08236070174612597,POINT (106.5914401148643 22.04877532440242),64
97,242.54544055298015,northeast,26.0,126.0,8.699999809265137,Upper slope (warm),stream,1318.0,267186.0,34568.0,4.146122187940062,0.31,1.0,0.43,0.008206699043512344,2.2522408962249756,3010.6668655579156,0.0030106668655579157,Vietnam,8f4160a28b06865,"Hương Thủy, Thừa Thiên Huế Province, Vietnam",0.4001132578759967,0.30106668655579155,POINT (107.6366246975623 16.39815334042213),65
179,675.5611158882892,northeast,426.0,118.0,222.60000610351562,Upper slope (warm),stream,385.0,20362.0,8665.0,7.036157984475764,0.32,2.0,0.36,0.008197193033993244,5.382236957550049,1002.603254871821,0.001002603254871821,Vietnam,8f4161018059d2b,"Khe Sanh, Hướng Hóa District, Quang Tri province, Vietnam",0.24511369805642005,0.10026032548718211,POINT (106.7593963577083 16.62643497604698),66
104,198.25039037647315,north,17.0,132.0,7.100000381469727,Lower slope (warm),stream,884.0,61623.0,20769.0,3.6333212300886237,0.29,0.0,0.43,0.008184302598237991,3.326927661895752,2105.582493861791,0.0021055824938617912,Vietnam,8f4161403cc021a,"An Xã, Gio Linh District, Quang Tri province, Vietnam",0.40050785648701254,0.21055824938617912,POINT (107.043609392811 16.93198086715273),67
148,1377.7196700340614,southwest,57.0,125.0,32.20000076293945,Upper slope (warm),lake,294.0,55357.0,10285.0,3.1552319515339047,0.26,1.0,0.47,0.008187470957636833,3.889855146408081,1862.4341429881385,0.0018624341429881385,Vietnam,8f4161429110913,"Gio Linh District, Quang Tri province, Vietnam",0.23244512795101382,0.18624341429881386,POINT (106.9955027354655 16.85763137601386),68
98,1145.1009846890017,west,34.0,129.0,8.700000762939453,Lower slope (warm),river,1653.0,125048.0,63361.0,0.6975446798199199,0.29,1.0,0.4,0.04095104709267616,3.3695099353790283,6237.141944229944,0.006237141944229944,Vietnam,8f416150935b336,"Dong Ha City, Quang Tri province, Vietnam",0.31932178513475207,0.6237141944229944,POINT (107.070535969702 16.79366236526054),69
